"","GOR","Region_Name","sex","age_group","pop_raw",".groups","region","ethnicity","N","ethnicity_per","pop"
"594",9,"South_West_England","Female","(70, Inf]",456117.61893687,"drop","E12000009","Other",371.014218271978,0.000765885812792806,349.334013308585
"595",9,"South_West_England","Female","(70, Inf]",456117.61893687,"drop","E12000009","White",478647.369840527,0.988073264682049,450677.624821956
"596",9,"South_West_England","Male","(-Inf,1]",56647.9951935011,"drop","E12000009","Asian",2512.96680758932,0.0416418773523477,2358.92886810415
"597",9,"South_West_England","Male","(-Inf,1]",56647.9951935011,"drop","E12000009","Black",1005.97565817281,0.0166698242294991,944.312122829172
"598",9,"South_West_England","Male","(-Inf,1]",56647.9951935011,"drop","E12000009","Mixed",2638.94319439483,0.0437294072125926,2477.1832495936
"599",9,"South_West_England","Male","(-Inf,1]",56647.9951935011,"drop","E12000009","Other",173.652062559499,0.0028775540803986,163.007669715459
"600",9,"South_West_England","Male","(-Inf,1]",56647.9951935011,"drop","E12000009","White",54015.5687808198,0.895081337125162,50704.5632832587
"601",9,"South_West_England","Male","(1,11]",325481.469924268,"drop","E12000009","Asian",10323.3470644511,0.0328752405439696,10700.2816163651
"602",9,"South_West_England","Male","(1,11]",325481.469924268,"drop","E12000009","Black",5164.18152733608,0.0164456071140455,5352.74037727654
"603",9,"South_West_England","Male","(1,11]",325481.469924268,"drop","E12000009","Mixed",13309.7161748884,0.0423854897146853,13795.6914957957
"604",9,"South_West_England","Male","(1,11]",325481.469924268,"drop","E12000009","Other",1047.35572321596,0.00333535927067649,1085.59763814532
"605",9,"South_West_England","Male","(1,11]",325481.469924268,"drop","E12000009","White",284171.263535314,0.904958303356623,294547.158796686
"606",9,"South_West_England","Male","(11,16]",157664.557262354,"drop","E12000009","Asian",4166.51811538586,0.026655257828415,4202.58942423095
"607",9,"South_West_England","Male","(11,16]",157664.557262354,"drop","E12000009","Black",2597.07538992344,0.016614763743042,2619.55936956533
"608",9,"South_West_England","Male","(11,16]",157664.557262354,"drop","E12000009","Mixed",6188.07198219263,0.0395881284031955,6241.64473753504
"609",9,"South_West_England","Male","(11,16]",157664.557262354,"drop","E12000009","Other",662.253918224757,0.0042367627955277,667.987330382487
"610",9,"South_West_England","Male","(11,16]",157664.557262354,"drop","E12000009","White",142697.384810745,0.91290508722982,143932.77640064
"611",9,"South_West_England","Male","(16,25]",279962.739691505,"drop","E12000009","Asian",13550.4623105801,0.0459250208877617,12857.2946681274
"612",9,"South_West_England","Male","(16,25]",279962.739691505,"drop","E12000009","Black",5048.20542782925,0.0171093011002106,4789.96681022184
"613",9,"South_West_England","Male","(16,25]",279962.739691505,"drop","E12000009","Mixed",8807.4560929264,0.0298500963114647,8356.91474341295
"614",9,"South_West_England","Male","(16,25]",279962.739691505,"drop","E12000009","Other",1558.26134544798,0.0052812356654735,1478.54920586245
"615",9,"South_West_England","Male","(16,25]",279962.739691505,"drop","E12000009","White",266091.818361952,0.90183434603509,252480.014263881
"616",9,"South_West_England","Male","(25,50]",828889.695546175,"drop","E12000009","Asian",35131.2145755738,0.0421091979000382,34903.8802270563
"617",9,"South_West_England","Male","(25,50]",828889.695546175,"drop","E12000009","Black",12499.760436069,0.0149825416588774,12418.8743941348
